title,album_name,artist_name
소나기,소나기,아이오아이 (I.O.I)
미워요,정인 From Andromeda,정인
신촌을 못가,신촌을 못가,포스트맨 (Postmen)
가질수 없는 너,Bank 선물,뱅크
술 한잔 해요,Atelier,지아 (Zia)
눈의 꽃,미안하다 사랑한다 OST,박효신
지우개,지우개,알리 (Ali)
오르막길,2012 월간 윤종신 6월호,"정인, 윤종신"
그녀를 찾아주세요,This Is The Name,더 네임 (The Name)
걱정말아요 그대,응답하라 1988 OST Part 2,이적
물감,물감,문문 (MoonMoon)
인연,사랑아...,이선희
바람기억,Principle Of My Soul,나얼
겨울을 걷는다,반오십,윤딴딴
보고싶다,3집 보고 싶다,김범수
바보에게... 바보가,바보에게... 바보가,박명수
퇴근버스,퇴근버스,이준호
내가 저지른 사랑,I`M,임창정
행복하지 말아요,Solitude Love,엠씨더맥스 (M.C The Max)
야생화,야생화,박효신
가시,Effect,버즈 (Buzz)
이 소설의 끝을 다시 써보려 해,이 소설의 끝을 다시 써보려 해,한동근
체념,1집 Like The Bible,빅마마 (Big Mama)
스토커,3,10cm
Tears,First Bridge,소찬휘
One Love,때려 OST,엠씨더맥스 (M.C The Max)
Hello,Like 1st Mini Album `First Story`,허각
그대라는 사치,The 3rd Digital Single `그대라는 사치`,한동근
응급실,쾌걸 춘향 OST,이지 (izi)
소주 한잔,Bye,임창정
안아줘,Lo9ve3r4s,정준일
Marry Me,마크툽 프로젝트 Vol.03,구윤회
키보드 (Prod. By Hansen),공상과학음악,기리보이 (Giriboy)
Believer,Evolve,Imagine Dragons
If You Were Me,미스터 션샤인 OST Part 14,벤(Ben)
Wow Thing,Wow Thing,"슬기 (SEULGI), 신비, 청하, 소연"
Perfect,연애플레이리스트3 Part.1,10cm
정인 (情人),미스터 션샤인 OST Part 13,세정
이별하러 가는 길,이별하러 가는 길,임한별
IndiGO,IM,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)"
열애중 (답가),열애중 (답가),하은
유재석 (prod. 진대호),별,빈첸 (VINXEN)
